feature,importance
meta_target_9_4_vs_target_2_5,0.13970533140291083
meta_target_6_5_vs_target_9_3,0.1396729162808781
num_feature_2128,0.13929452149381236
meta_target_9_2_vs_target_2_3,0.1389438568109739
num_feature_1928,0.13879909434521284
meta_target_3_2_vs_target_10_1,0.13714002719168558
num_feature_1459,0.13651318981175756
meta_target_6_3_vs_target_9_7,0.1352717762476302
meta_target_1_1_vs_target_1_2,0.13462245553311605
meta_target_8_2_vs_target_3_2,0.13292431922061407
meta_target_9_6_vs_target_9_4,0.13240798634017553
num_feature_838,0.13112714330495026
meta_target_9_3_vs_target_7_3,0.13069559529443586
meta_target_8_3_vs_target_9_4,0.13054211484509037
int_23_x_76,0.1292858315903678
meta_target_9_8_vs_target_9_5,0.12921159115446929
num_feature_438,0.12869590605093276
meta_target_6_5_vs_target_2_4,0.1286073866832905
meta_target_1_3_vs_target_9_2,0.1268434523266683
num_feature_104,0.12665741059884886
num_feature_752,0.12661834978366276
meta_target_3_1_vs_target_2_1,0.12543618857081631
num_feature_361,0.12518841727375066
num_feature_1392,0.12516796687523368
meta_target_9_5_vs_target_5_1,0.12221334171736711
meta_target_3_3_vs_target_7_3,0.12220184378058575
meta_target_5_2_vs_target_9_1,0.12208959638658581
meta_target_9_6_vs_target_9_3,0.12116821631232945
meta_target_5_2_vs_target_10_1,0.12113452251027358
meta_target_2_5_vs_target_2_2,0.12075702939506977
meta_target_3_1_vs_target_1_3,0.12057968028447887
meta_target_1_4_vs_target_1_3,0.119253761072419
meta_target_2_1_vs_target_9_5,0.11838676995093048
num_feature_1758,0.11824777541390184
num_feature_904,0.1179922740923799
num_feature_58,0.11633459512299353
meta_target_7_2_vs_target_1_3,0.11566849364833783
num_feature_1650,0.11556383632113477
num_feature_62,0.11496381996968084
meta_target_8_3_vs_target_8_2,0.11436837414942037
meta_target_3_1_vs_target_5_2,0.11386509548401327
meta_target_8_1_vs_target_3_4,0.11378204511626747
meta_target_8_3_vs_target_4_1,0.11364686862210531
meta_target_9_4_vs_target_8_3,0.11313112080591535
meta_target_2_5_vs_target_2_6,0.11286091854786963
meta_target_8_1_vs_target_2_4,0.1119321191115398
meta_target_3_3_vs_target_9_4,0.1111124834368837
null_pca_3,0.10983269547293759
num_feature_1207,0.10975399057978717
meta_target_4_1_vs_target_6_3,0.10922899455336127
meta_target_9_4_vs_target_4_1,0.10805214151127789
meta_target_5_2_vs_target_4_1,0.10791655065675736
meta_target_1_5_vs_target_1_3,0.10707647491429222
num_feature_401,0.10700008238028935
meta_target_2_4_vs_target_9_3,0.10505935312439527
meta_target_6_4_vs_target_2_3,0.10505814994104039
meta_target_4_1_vs_target_3_2,0.10425264719193415
num_feature_2088,0.10406421858888207
meta_target_1_1_vs_target_7_1,0.1037643906533735
meta_target_1_1_vs_target_2_3,0.10373148669150982
num_feature_1672,0.10362121315345434
meta_target_6_1_vs_target_9_2,0.1031745433779529
meta_target_3_3_vs_target_1_4,0.10300058654106767
meta_target_2_1_vs_target_9_3,0.10283031892347276
meta_target_9_5_vs_target_3_2,0.10257142799574712
meta_target_2_7_vs_target_7_1,0.10252684444079624
meta_target_6_4_vs_target_3_3,0.10175126656185036
meta_target_2_3_vs_target_9_2,0.10173365759478978
num_feature_1110,0.10159421658254093
